"SysExp","Processeur","RefProcesseur","Mémoire","Disque Dur","Carte Graphique","Réf Carte graphique","Taille Ecran","NomDuProduit","Prix","ImageDuProduit","Fabricant","NomDuFabricant"
"Windows 11","AMD Ryzen 7","AMD Ryzen 7 3700U , 2,3 GHz up to 4 GHz, 6 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia RTX A2000, 4 Go de mémoire GDDR6 dédiée","15.6""","Station de travail Mobile Dell Precision 5560 Tactile ",11179,"https://www.tunisianet.com.tn/237109-large/station-de-travail-mobile-dell-precision-5560-tactile-i7-11e-gen-32-go.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 10","Intel Core i5","Intel Core i5-1035G1 Quad-Core 1 GHz jusqu'à 3.6 GHz Turbo, 8 Threads, Cache 6 Mo","32 Go","2 To SSD","Nvidia GeForce","Nvidia GeForce GTX 1650 Ti, 4 Go de mémoire dédiée","14""","PC Portable Lenovo ThinkPad X1 Carbon ",10999,"https://www.tunisianet.com.tn/200292-large/pc-portable-lenovo-thinkpad-x1-carbon-i9-10e-gen-32-go-gtx-1650ti-2-to-ssd.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i3","Intel Core i3-1115G4, 11è Génération, 1.7 Ghz up to 4.1, 6 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","14""","Pc portable ASUS Zenbook Pro Duo UX582HM ",8969,"https://www.tunisianet.com.tn/248883-large/pc-portable-asus-zenbook-pro-duo-ux582hm-i9-11e-gen-rtx-3060-6g-32-go-bleu-fonce-screenpad-plus-stylus.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i3","Intel Core i3-10110U 10é Génération, 2.4 Ghz up to 4.1 Ghz, 4 Mo de mémoire cache ","32 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","Pc portable MSI GE76 Raider 10 UG ",8849,"https://www.tunisianet.com.tn/198208-large/pc-portable-msi-ge76-raider-10-ug-i7-10e-gen-32-go-rtx-3070.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","64 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","PC Portable HP OMEN 17-ck0006nk ",8729,"https://www.tunisianet.com.tn/252670-large/pc-portable-hp-omen-17-ck0006nk-i9-11e-gen-64-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","48 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","PC Portable HP OMEN 17-ck0006nk ",8489,"https://www.tunisianet.com.tn/252691-large/pc-portable-hp-omen-17-ck0006nk-i9-11e-gen-48-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia Quadro T2000, 4 Go de mémoire GDDR5","15.6""","Pc Portable de travail Dell Precision 5550 ",8399,"https://www.tunisianet.com.tn/206360-large/pc-portable-de-travail-dell-precision-5550-i9-10e-gen-32-go.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","PC Portable HP OMEN 17-ck0006nk ",8249,"https://www.tunisianet.com.tn/252676-large/pc-portable-hp-omen-17-ck0006nk-i9-11e-gen-32-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","Pc portable HP OMEN 17-ck0002nk ",8229,"https://www.tunisianet.com.tn/237059-large/pc-portable-hp-omen-17-ck0002nk-i9-11e-gen-32-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Graphique Intégrée","Intel Iris Xe Graphics","14""","PC Portable Lenovo ThinkPad X1 YOGA GEN 6 ",8199,"https://www.tunisianet.com.tn/256856-large/pc-portable-lenovo-thinkpad-x1-yoga-gen-6-i7-11e-gen-16-go.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
